Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
K27        TACTILE_SWITCH_GATERON_PCB    253.0001mm       75.54mm    253.0001mm          73mm    249.1901mm       75.54mm  T          0.00 KEY0           
K26        TACTILE_SWITCH_GATERON_PCB         234mm       75.54mm         234mm     73.0001mm      230.19mm       75.54mm  T          0.00 KEY0           
K25        TACTILE_SWITCH_GATERON_PCB    215.0001mm     75.5401mm    215.0001mm     73.0001mm    211.1901mm     75.5401mm  T          0.00 KEY0           
K24        TACTILE_SWITCH_GATERON_PCB         196mm       75.54mm         196mm     73.0001mm      192.19mm       75.54mm  T          0.00 KEY0           
K23        TACTILE_SWITCH_GATERON_PCB    177.0001mm     75.5401mm    177.0001mm     73.0001mm    173.1901mm     75.5401mm  T          0.00 KEY0           
K22        TACTILE_SWITCH_GATERON_PCB    158.0001mm     75.5401mm    158.0001mm     73.0001mm    154.1901mm     75.5401mm  T          0.00 KEY0           
K21        TACTILE_SWITCH_GATERON_PCB         139mm       75.54mm         139mm     73.0001mm      135.19mm       75.54mm  T          0.00 KEY0           
K20        TACTILE_SWITCH_GATERON_PCB         120mm       75.54mm         120mm     73.0001mm      116.19mm       75.54mm  T          0.00 KEY0           
K19        TACTILE_SWITCH_GATERON_PCB    101.0001mm     75.5401mm    101.0001mm     73.0001mm     97.1901mm     75.5401mm  T          0.00 KEY0           
K18        TACTILE_SWITCH_GATERON_PCB          82mm       75.54mm          82mm     73.0001mm       78.19mm       75.54mm  T          0.00 KEY0           
K17        TACTILE_SWITCH_GATERON_PCB     63.0001mm     75.5401mm     63.0001mm     73.0001mm       59.19mm     75.5401mm  T          0.00 KEY0           
K16        TACTILE_SWITCH_GATERON_PCB          44mm     75.5401mm          44mm     73.0001mm       40.19mm     75.5401mm  T          0.00 KEY0           
K15        TACTILE_SWITCH_GATERON_PCB     20.4999mm       75.54mm     20.4999mm          73mm     16.6899mm       75.54mm  T          0.00 KEY0           
K14        TACTILE_SWITCH_GATERON_PCB    272.0001mm       94.54mm    272.0001mm     92.0001mm    268.1901mm       94.54mm  T          0.00 KEY0           
K13        TACTILE_SWITCH_GATERON_PCB         253mm       94.54mm         253mm          92mm      249.19mm       94.54mm  T          0.00 KEY0           
K12        TACTILE_SWITCH_GATERON_PCB    234.0001mm     94.5401mm    234.0001mm     92.0001mm    230.1901mm     94.5401mm  T          0.00 KEY0           
K11        TACTILE_SWITCH_GATERON_PCB    215.0001mm     94.5401mm    215.0001mm     92.0001mm    211.1901mm     94.5401mm  T          0.00 KEY0           
K10        TACTILE_SWITCH_GATERON_PCB    196.0001mm     94.5401mm    196.0001mm     92.0001mm    192.1901mm     94.5401mm  T          0.00 KEY0           
K9         TACTILE_SWITCH_GATERON_PCB    177.0001mm     94.5401mm    177.0001mm     92.0001mm    173.1901mm     94.5401mm  T          0.00 KEY0           
K8         TACTILE_SWITCH_GATERON_PCB         158mm       94.54mm         158mm     92.0001mm      154.19mm       94.54mm  T          0.00 KEY0           
K7         TACTILE_SWITCH_GATERON_PCB         139mm       94.54mm         139mm     92.0001mm      135.19mm       94.54mm  T          0.00 KEY0           
K6         TACTILE_SWITCH_GATERON_PCB    120.0001mm     94.5401mm    120.0001mm     92.0001mm    116.1901mm     94.5401mm  T          0.00 KEY0           
